wm_country_name,total_deaths,female_deaths,male_deaths
Afghanistan,4824.353,2633.0446888562,2293.9200971218
Albania,4.86975,1.7772113207999998,3.03668162
Algeria,758.21,441.308169533,354.00303231370003
Angola,14065.2,6581.1563232048,7507.677878563
Antigua and Barbuda,0.11513,0.05105518380000001,0.0567563942
Argentina,159.1411,89.771241786,68.2099297434
Armenia,5.17336,2.5651918835000003,2.6283458447999997
Australia,23.01346,14.561646430800002,8.5842482552
Austria,10.78108,6.732961179000001,4.0904147744
Azerbaijan,108.9128,46.685095697,62.3514339428
Bahamas,0.26811,0.1299093726,0.1290210264
Bahrain,0.56435,0.259297026,0.305106672
Bangladesh,19464.03,10776.69644789,8079.736730850001
Barbados,0.46915,0.34053054000000005,0.1285522444
Belarus,4.89667,2.671285481,2.2076455878
Belgium,32.00647,20.457558691200003,11.538059019499999
Belize,3.54188,1.6443553938,1.9118109336
Benin,6494.034,2963.5198936456,3530.3748513187
Bhutan,31.50916,15.8718798,13.250615529000001
Bolivia (Plurinational State of),607.2645,270.441693071,345.10640614709996
Bosnia and Herzegovina,2.76853,1.3967708600000002,1.2691901781
Botswana,264.7807,138.0281426182,116.4345556894
Brazil,2174.623,1171.946373888,986.4306518736
Brunei Darussalam,0.19128,0.08884415650000001,0.10095522479999999
Bulgaria,9.18815,4.966778584,4.2477572928
Burkina Faso,9256.325,5026.3683571485,4229.9147286885
Burundi,6882.901,3533.9674243235004,3324.3083190408997
Cabo Verde,22.32021,10.4752643555,11.5031338818
Cambodia,1019.877,510.90599422989993,509.22499452799997
Cameroon,10583.47,5283.0590378208,5520.1561920883
Canada,133.5263,81.8533660763,52.026185142
Central African Republic,3772.784,1710.6723457956002,2016.9657163152
Chad,14603.3,6931.5911055569995,7779.431176247
Chile,36.31498,21.3411933818,15.6103072296
China,8134.223,4633.232432733,3702.2915223119
Colombia,366.4109,190.0924607646,172.75262561760002
Comoros,403.6642,198.49853099610002,205.1626484268
Congo,1984.138,845.6615459552,1081.85278513
Costa Rica,41.96055,25.1228966109,17.2015252688
Croatia,4.72051,3.0971486549999994,1.6207256952000002
Cuba,117.7832,59.79382910539999,56.560909796999994
Cyprus,3.26564,1.57138771,1.694388539
Czechia,18.97327,11.391479258400002,7.5957893605999995
Côte d'Ivoire,11174.47,5270.9389875926,5961.500842439999
Democratic People's Republic of Korea,344.1445,145.28899769999998,198.02094550700002
Democratic Republic of the Congo,47049.52,19664.8003140066,27416.3770774842
Denmark,17.45619,11.952318224000003,5.5027088573
Djibouti,294.826,145.837902788,143.92949608520001
Dominican Republic,234.8522,113.812829382,115.509430352
Ecuador,105.2175,54.08746184739999,51.808025788200005
Egypt,1915.882,1022.2072479907001,868.896597965
El Salvador,127.2203,55.1833175969,72.25101087899999
Equatorial Guinea,272.2647,129.77860863389998,141.036366633
Eritrea,2257.556,733.1281475507,805.3869358083001
Estonia,0.08229,0.0276946956,0.05486427940000001
Eswatini,374.6307,170.92986341579999,139.7985209615
Ethiopia,44713.33,21136.8566131452,24105.0787610148
Fiji,25.95353,9.593370394499999,15.595055312600001
Finland,1.99014,1.070780079,0.9174172116000001
France,171.7787,108.18156858969999,64.004405391
Gabon,407.4295,183.1594497477,229.7052068043
Gambia,604.6097,308.064048709,329.411180224
Georgia,7.05726,3.5798788268,3.6394568001
Germany,480.4347,298.6120431792,183.424590306
Ghana,5312.967,2731.1345203464,2630.7354288075003
Greece,4.14944,2.8734189887,1.0698125516
Grenada,0.36792,0.0084238765,0.3712334058
Guatemala,1043.895,504.1087315495,539.827818868
